Address Space - ETROC2:
PeriStat0 - 0b00100110 to 0b10100110
SEU Counter 0 - 0b11001100 to 0b00111010
SEU Counter 1 - 0b00000000 to 0b00000001
PixStat2 Pixel 13,4 - 0b10100000 to 0b10000000
PixStat1 Pixel 14,4 - 0b10000110 to 0b00000110
PixStat2 Pixel 14,4 - 0b10101011 to 0b10001011
PixStat3 Pixel 14,4 - 0b11000001 to 0b11000000
PixStat2 Pixel 0,5 - 0b10011000 to 0b10011010
PixStat1 Pixel 1,5 - 0b11001001 to 0b11000001
PixStat3 Pixel 1,5 - 0b11000001 to 0b11000000
PixStat1 Pixel 2,5 - 0b11100110 to 0b11000110
PixStat2 Pixel 2,5 - 0b10100111 to 0b10100101
PixStat2 Pixel 3,5 - 0b10100011 to 0b01000011
PixStat5 Pixel 3,5 - 0b00000000 to 0b00000100
PixStat2 Pixel 4,5 - 0b10100000 to 0b10000000
PixStat6 Pixel 4,5 - 0b00000000 to 0b00001000
PixStat2 Pixel 5,5 - 0b10011111 to 0b00001111
PixStat3 Pixel 5,5 - 0b11000000 to 0b11000010
PixStat1 Pixel 6,5 - 0b11001111 to 0b10000011
PixStat3 Pixel 6,5 - 0b11000001 to 0b11000010
PixStat5 Pixel 6,5 - 0b00000000 to 0b10000000
PixStat6 Pixel 6,5 - 0b00001000 to 0b01001000
PixStat1 Pixel 7,5 - 0b11000100 to 0b01000110
PixStat2 Pixel 7,5 - 0b10100010 to 0b00100011
PixStat2 Pixel 8,5 - 0b00100100 to 0b00100001
PixStat5 Pixel 8,5 - 0b00000000 to 0b10100010
PixStat6 Pixel 8,5 - 0b00000010 to 0b00000000
PixStat2 Pixel 11,5 - 0b10100001 to 0b10100000
PixStat3 Pixel 11,5 - 0b11000001 to 0b11000010
PixStat6 Pixel 11,5 - 0b00000000 to 0b00000001
PixStat1 Pixel 12,5 - 0b11001000 to 0b01001010
PixStat2 Pixel 12,5 - 0b00010100 to 0b00010000
PixStat1 Pixel 13,5 - 0b11000110 to 0b11000100
PixStat6 Pixel 13,5 - 0b00000000 to 0b00000010
PixStat1 Pixel 14,5 - 0b10000110 to 0b10000100
PixStat1 Pixel 0,6 - 0b11001010 to 0b11101010
PixStat2 Pixel 2,6 - 0b00100011 to 0b10100011
PixStat5 Pixel 2,6 - 0b00000000 to 0b01000000
PixStat6 Pixel 2,6 - 0b00000100 to 0b00000000
PixStat1 Pixel 3,6 - 0b11001000 to 0b01001000
PixStat2 Pixel 3,6 - 0b10110010 to 0b11110010
PixStat6 Pixel 4,6 - 0b00000000 to 0b00001000
PixStat2 Pixel 7,6 - 0b10011101 to 0b00011100
PixStat1 Pixel 8,6 - 0b01000000 to 0b00000000
PixStat2 Pixel 8,6 - 0b10100110 to 0b10100100
PixStat6 Pixel 8,6 - 0b00000000 to 0b01100010
PixStat1 Pixel 9,6 - 0b00000111 to 0b00001101
PixStat2 Pixel 9,6 - 0b10010100 to 0b10000100
PixStat5 Pixel 9,6 - 0b00000000 to 0b10000000
PixStat6 Pixel 9,6 - 0b00000100 to 0b00000000
PixStat2 Pixel 10,6 - 0b00010011 to 0b00001001
PixStat1 Pixel 11,6 - 0b11000101 to 0b01000100
PixStat5 Pixel 11,6 - 0b00000000 to 0b01000000
PixStat6 Pixel 11,6 - 0b00000000 to 0b01010000
PixStat1 Pixel 13,6 - 0b11001000 to 0b11000000
PixStat2 Pixel 13,6 - 0b10111100 to 0b00110100
PixStat1 Pixel 14,6 - 0b10000110 to 0b00000100
PixStat2 Pixel 14,6 - 0b00100000 to 0b10100000
PixStat5 Pixel 14,6 - 0b10000000 to 0b00000000
PixStat6 Pixel 14,6 - 0b00000001 to 0b00100001
PixStat1 Pixel 0,7 - 0b01001110 to 0b00001100
PixStat2 Pixel 0,7 - 0b10100000 to 0b10100010
PixStat6 Pixel 0,7 - 0b00000000 to 0b00000100
PixStat1 Pixel 1,7 - 0b11001100 to 0b10001100
PixStat6 Pixel 1,7 - 0b00000000 to 0b00001000
PixStat2 Pixel 2,7 - 0b10011000 to 0b10001000
PixStat2 Pixel 3,7 - 0b10011111 to 0b10000111
PixStat3 Pixel 4,7 - 0b11000001 to 0b11000000
PixStat1 Pixel 5,7 - 0b11000110 to 0b10000010
PixStat2 Pixel 5,7 - 0b10100101 to 0b10000101
PixStat5 Pixel 5,7 - 0b00000000 to 0b01000001
PixStat1 Pixel 6,7 - 0b00000110 to 0b01000110
PixStat6 Pixel 6,7 - 0b10000001 to 0b00000001
PixStat2 Pixel 7,7 - 0b00010111 to 0b10110111
PixStat6 Pixel 7,7 - 0b00100000 to 0b00000000
PixStat1 Pixel 8,7 - 0b01001000 to 0b01100000
PixStat5 Pixel 8,7 - 0b00000001 to 0b00000011
PixStat1 Pixel 9,7 - 0b11000100 to 0b11000010
PixStat1 Pixel 10,7 - 0b00000100 to 0b00000010
PixStat2 Pixel 10,7 - 0b10011101 to 0b10001101
