Address Space - ETROC2:
SEU Counter 0 - 0b01100001 to 0b10011111
PixStat2 Pixel 1,7 - 0b10110110 to 0b10110100
PixStat5 Pixel 1,7 - 0b00000000 to 0b00001000
PixStat5 Pixel 4,7 - 0b00000000 to 0b00000001
PixStat2 Pixel 5,7 - 0b10110101 to 0b10100101
PixStat2 Pixel 6,7 - 0b10110000 to 0b00110000
PixStat1 Pixel 7,7 - 0b11001000 to 0b01001000
PixStat2 Pixel 7,7 - 0b10111001 to 0b10100001
PixStat6 Pixel 8,7 - 0b00000000 to 0b00000010
PixStat1 Pixel 9,7 - 0b11000110 to 0b01000100
PixStat2 Pixel 10,7 - 0b10101011 to 0b10001011
PixStat2 Pixel 11,7 - 0b10101101 to 0b10100101
PixStat3 Pixel 12,7 - 0b11000001 to 0b11000011
PixStat1 Pixel 13,7 - 0b11001000 to 0b10001000
PixStat2 Pixel 13,7 - 0b10100001 to 0b10000001
PixStat2 Pixel 14,7 - 0b10100100 to 0b10000100
PixStat1 Pixel 0,8 - 0b11000110 to 0b01000110
PixStat1 Pixel 5,8 - 0b11000110 to 0b11000100
PixStat1 Pixel 6,8 - 0b11011000 to 0b11001000
PixStat2 Pixel 6,8 - 0b10101100 to 0b10101101
PixStat5 Pixel 6,8 - 0b00000000 to 0b00000100
PixStat2 Pixel 7,8 - 0b10101001 to 0b10101000
PixStat2 Pixel 8,8 - 0b10110110 to 0b10100110
PixStat1 Pixel 9,8 - 0b11000110 to 0b00000110
PixStat5 Pixel 10,8 - 0b00000010 to 0b00000000
PixStat1 Pixel 11,8 - 0b11100110 to 0b11100000
PixStat3 Pixel 11,8 - 0b11000011 to 0b11000000
PixStat1 Pixel 15,8 - 0b11000110 to 0b00000110
PixStat2 Pixel 15,8 - 0b00101111 to 0b10101111
PixStat1 Pixel 1,9 - 0b11001101 to 0b01101101
PixStat6 Pixel 1,9 - 0b00000001 to 0b10000000
PixStat3 Pixel 2,9 - 0b11000001 to 0b11000000
PixStat2 Pixel 3,9 - 0b10101111 to 0b10100111
PixStat5 Pixel 5,9 - 0b00010000 to 0b00010001
PixStat1 Pixel 7,9 - 0b11001000 to 0b01001000
PixStat1 Pixel 8,9 - 0b11001000 to 0b10001000
PixStat6 Pixel 10,9 - 0b00000000 to 0b00010000
PixStat3 Pixel 15,9 - 0b11000001 to 0b11000000
PixStat6 Pixel 0,10 - 0b00000000 to 0b00011000
PixStat2 Pixel 6,10 - 0b10100101 to 0b11100101
PixStat6 Pixel 6,10 - 0b00000000 to 0b00000010
PixStat2 Pixel 8,10 - 0b10011110 to 0b00011110
PixStat2 Pixel 9,10 - 0b10100011 to 0b10110011
PixStat3 Pixel 9,10 - 0b11000001 to 0b11000000
PixStat1 Pixel 10,10 - 0b11000110 to 0b00000110
PixStat6 Pixel 10,10 - 0b00000000 to 0b10000000
PixStat1 Pixel 11,10 - 0b11000110 to 0b00000110
PixStat2 Pixel 11,10 - 0b10101010 to 0b10100010
PixStat1 Pixel 5,11 - 0b11001000 to 0b01001000
PixStat1 Pixel 6,11 - 0b11011000 to 0b11010000
PixStat2 Pixel 7,11 - 0b10100001 to 0b10000001
PixStat1 Pixel 11,11 - 0b11000110 to 0b11010110
PixStat6 Pixel 11,11 - 0b00000000 to 0b00001000
PixStat3 Pixel 12,11 - 0b11000001 to 0b11000000
PixStat6 Pixel 0,12 - 0b01000000 to 0b01000010
PixStat3 Pixel 5,12 - 0b11000001 to 0b11000000
PixStat1 Pixel 6,12 - 0b11100110 to 0b11000110
PixStat1 Pixel 10,12 - 0b11001000 to 0b01001000
PixStat1 Pixel 13,12 - 0b11001000 to 0b01001000
PixStat2 Pixel 14,12 - 0b10011100 to 0b00011100
PixStat1 Pixel 1,13 - 0b11001000 to 0b01001000
PixStat1 Pixel 5,13 - 0b10000110 to 0b11000110
PixStat1 Pixel 9,13 - 0b11000110 to 0b00000110
PixStat2 Pixel 10,13 - 0b10011100 to 0b10011000
PixStat6 Pixel 10,13 - 0b00000000 to 0b00000010
PixStat5 Pixel 3,14 - 0b00000000 to 0b01000000
PixStat2 Pixel 9,14 - 0b10011010 to 0b00011010
PixStat1 Pixel 6,15 - 0b11001000 to 0b01001000
PixStat1 Pixel 10,15 - 0b11000110 to 0b11000010
