Address Space - ETROC2:
PeriStat0 - 0b10100100 to 0b00100100
SEU Counter 0 - 0b01101000 to 0b10100000
PixCfg19 Pixel 2,10 - 0b00111111 to 0b00111110
PixStat1 Pixel 0,0 - 0b11011010 to 0b11010010
PixStat1 Pixel 4,0 - 0b10001110 to 0b00001110
PixStat2 Pixel 4,0 - 0b10101011 to 0b10100011
PixStat2 Pixel 5,0 - 0b10100101 to 0b11100101
PixStat6 Pixel 5,0 - 0b00000000 to 0b00000001
PixStat2 Pixel 6,0 - 0b10100110 to 0b10100001
PixStat1 Pixel 7,0 - 0b11000110 to 0b01000010
PixStat2 Pixel 7,0 - 0b10100110 to 0b10100010
PixStat1 Pixel 9,0 - 0b11100110 to 0b10000100
PixStat2 Pixel 9,0 - 0b10011110 to 0b00010010
PixStat2 Pixel 11,0 - 0b00100000 to 0b10100000
PixStat3 Pixel 11,0 - 0b11000001 to 0b11000000
PixStat5 Pixel 11,0 - 0b00000000 to 0b00100000
PixStat3 Pixel 12,0 - 0b11000001 to 0b11000000
PixStat1 Pixel 13,0 - 0b11000110 to 0b01000110
PixStat2 Pixel 13,0 - 0b10011011 to 0b10001011
PixStat3 Pixel 13,0 - 0b11000001 to 0b11000000
PixStat6 Pixel 13,0 - 0b00000000 to 0b00000001
PixStat1 Pixel 14,0 - 0b11000110 to 0b11000010
PixStat2 Pixel 14,0 - 0b10011111 to 0b00011111
PixStat1 Pixel 2,1 - 0b11001000 to 0b10001000
PixStat2 Pixel 2,1 - 0b10100010 to 0b10000010
PixStat5 Pixel 2,1 - 0b00000000 to 0b00100000
PixStat1 Pixel 4,1 - 0b11001000 to 0b10001000
PixStat6 Pixel 4,1 - 0b00000000 to 0b00000100
PixStat3 Pixel 5,1 - 0b11000011 to 0b11000001
PixStat5 Pixel 5,1 - 0b00000000 to 0b01000000
PixStat2 Pixel 6,1 - 0b10011110 to 0b10010110
PixStat1 Pixel 8,1 - 0b11000100 to 0b10000100
PixStat2 Pixel 8,1 - 0b10100001 to 0b00100001
PixStat1 Pixel 12,1 - 0b11000000 to 0b01001000
PixStat2 Pixel 0,2 - 0b10100110 to 0b10101110
PixStat1 Pixel 1,2 - 0b11001000 to 0b10000000
PixStat1 Pixel 2,2 - 0b11000110 to 0b10000110
PixStat1 Pixel 3,2 - 0b11001000 to 0b01001000
PixStat6 Pixel 3,2 - 0b00000000 to 0b00001000
PixStat1 Pixel 4,2 - 0b11001000 to 0b11001100
PixStat1 Pixel 5,2 - 0b11000110 to 0b01000110
PixStat2 Pixel 5,2 - 0b10101001 to 0b10001001
PixStat2 Pixel 7,2 - 0b10100011 to 0b10000011
PixStat6 Pixel 7,2 - 0b00000000 to 0b00001000
PixStat1 Pixel 8,2 - 0b11000110 to 0b10000110
PixStat2 Pixel 8,2 - 0b10101010 to 0b10001010
PixStat1 Pixel 9,2 - 0b00000110 to 0b01000110
PixStat1 Pixel 10,2 - 0b11000110 to 0b10000110
PixStat1 Pixel 11,2 - 0b11001000 to 0b10001000
PixStat3 Pixel 12,2 - 0b11000001 to 0b11000000
PixStat1 Pixel 13,2 - 0b11000100 to 0b01000100
PixStat2 Pixel 14,2 - 0b10000101 to 0b10100101
PixStat1 Pixel 15,2 - 0b11000110 to 0b11000010
